"","sido","sigungu","sigungu_cd","2020_1","2020_2","2020_3","2020_4","2020_5","2020_6","2020_7","2020_8","2020_9","2020_10","2020_11","2020_12","2021_1","2021_2","2021_3","2021_4","2021_5","2021_6","2021_7","2021_8","2021_9","2021_10","2021_11","2021_12"
"15","서울","양천구",11150,3,6,2,2,1,1,1,4,8,4,8,5,6,3,9,7,17,5,5,10,9,6,5,1
"16","서울","강서구",11160,2,3,4,2,2,3,6,17,10,23,9,13,9,9,9,5,7,13,9,10,13,15,5,1
"17","서울","구로구",11170,2,1,4,1,3,4,4,5,3,5,5,4,3,2,6,9,9,5,6,6,9,10,3,4
"18","서울","금천구",11180,0,0,2,3,2,0,0,1,3,2,0,5,1,3,2,4,6,3,6,4,7,10,3,3
"19","서울","영등포구",11190,2,2,2,3,3,2,1,4,0,3,0,3,1,5,4,2,3,7,3,4,3,5,6,2
"20","서울","동작구",11200,3,0,2,2,1,1,3,1,5,2,2,5,4,1,4,2,5,3,4,8,8,5,3,3
"21","서울","관악구",11210,4,3,2,1,2,1,3,4,3,3,1,2,2,0,7,11,10,9,7,8,11,5,7,2
"22","서울","서초구",11220,2,2,2,0,5,4,1,1,1,1,0,4,0,2,1,4,2,2,4,7,2,2,3,4
"23","서울","강남구",11230,1,2,1,0,8,2,0,1,0,1,1,2,1,2,3,4,2,9,5,3,4,3,4,1
"24","서울","송파구",11240,3,2,2,0,3,2,6,2,4,5,4,3,4,4,5,5,6,5,6,4,5,9,1,3
"25","서울","강동구",11250,1,5,1,1,0,1,4,1,0,3,7,4,6,3,2,3,4,3,5,3,3,1,1,4
"26","부산","중구",21010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"27","부산","서구",21020,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0
"28","부산","동구",21030,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"29","부산","영도구",21040,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,0,0,0,1
"30","부산","부산진구",21050,1,0,1,1,3,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,1,1,0
"31","부산","동래구",21060,0,0,0,0,0,2,0,1,0,0,1,0,2,1,2,2,2,2,0,2,0,1,1,0
"32","부산","남구",21070,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0
"33","부산","북구",21080,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,2,0,2,0,0,1,1,0
"34","부산","해운대구",21090,1,3,2,1,1,4,1,1,2,0,2,1,0,2,0,0,0,0,0,2,1,1,0,0
"35","부산","사하구",21100,0,1,1,0,2,1,2,0,1,2,1,0,0,1,0,0,1,1,2,1,0,0,1,3
"36","부산","금정구",21110,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
"37","부산","강서구",21120,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,2,0
"38","부산","연제구",21130,1,0,1,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
"39","부산","수영구",21140,0,1,0,2,0,1,1,0,1,1,0,0,0,1,1,1,1,2,2,0,0,0,0,1
"40","부산","사상구",21150,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0
"41","부산","기장군",21310,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"42","대구","중구",22010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0
"43","대구","동구",22020,1,1,0,0,3,1,1,0,1,0,0,1,1,1,2,1,1,1,2,1,1,2,0,1
"44","대구","서구",22030,0,0,1,5,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
"45","대구","남구",22040,1,0,0,1,1,1,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,2,0
"46","대구","북구",22050,2,0,0,0,0,1,1,0,2,0,0,3,1,0,0,0,2,3,0,1,1,2,2,0
"47","대구","수성구",22060,2,0,1,2,1,1,1,0,2,1,2,0,0,1,0,1,0,1,1,0,1,0,1,0
"48","대구","달서구",22070,2,1,2,1,1,3,1,3,2,0,0,4,2,0,1,0,2,1,4,1,1,1,2,1
"49","대구","달성군",22310,0,0,0,1,1,1,1,0,0,1,0,0,3,1,1,1,1,0,0,0,1,0,0,0
"50","인천","중구",23010,2,2,3,0,1,0,0,4,1,1,2,1,4,2,4,3,1,2,8,9,6,4,3,1
"51","인천","동구",23020,0,2,1,2,0,1,0,0,0,0,0,1,1,0,2,1,1,3,3,2,2,1,0,2
"52","인천","남구",23030,3,5,11,2,1,7,5,5,1,7,6,3,4,3,6,6,5,8,8,11,5,8,9,6
"53","인천","연수구",23040,3,6,3,5,1,7,3,2,3,7,8,7,4,3,9,9,13,13,7,15,8,4,4,2
"54","인천","남동구",23050,3,9,8,4,7,9,6,8,6,8,11,5,4,6,7,6,17,9,16,4,13,5,7,5
"55","인천","부평구",23060,2,5,2,4,4,6,5,4,3,3,4,11,4,8,0,5,7,9,6,5,7,5,0,1
"56","인천","계양구",23070,0,3,3,3,1,3,3,3,3,3,3,0,1,8,4,4,9,10,4,8,5,4,3,4
"57","인천","서구",23080,8,6,6,9,8,7,3,4,3,9,12,9,1,3,10,7,17,10,6,17,13,10,5,7
"58","인천","강화군",23310,0,2,3,1,2,1,0,0,1,1,1,0,0,1,2,0,1,2,1,1,4,2,0,0
"59","인천","옹진군",23320,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"60","광주","동구",24010,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1
"61","광주","서구",24020,1,2,0,2,2,2,0,2,0,4,2,1,0,2,1,1,1,1,3,2,0,3,2,2
"62","광주","남구",24030,1,1,1,0,0,2,2,0,1,0,1,0,0,0,1,0,0,4,2,0,2,2,3,3
"63","광주","북구",24040,1,1,2,1,4,4,2,2,0,2,2,3,4,3,4,2,4,3,2,4,2,5,6,12
"64","광주","광산구",24050,0,0,1,1,4,1,3,2,0,3,3,2,3,2,4,3,2,6,7,4,2,9,8,5
"65","대전","동구",25010,3,1,1,1,4,1,5,2,2,0,1,1,1,4,5,5,6,2,2,6,4,4,5,1
"66","대전","중구",25020,2,0,1,2,5,1,6,1,2,1,1,2,3,1,3,2,1,2,7,2,3,4,8,3
"67","대전","서구",25030,4,2,2,4,7,3,6,5,0,5,1,5,4,3,4,1,1,4,5,8,6,5,7,7
"68","대전","유성구",25040,3,0,2,3,2,3,4,2,2,0,1,4,2,1,0,2,2,4,6,5,3,1,4,3
"69","대전","대덕구",25050,2,3,2,0,3,1,1,1,1,3,4,4,3,1,2,3,1,3,1,1,1,3,4,1
"70","울산","중구",26010,2,0,1,2,2,1,0,0,2,1,0,1,1,0,0,2,0,0,0,0,0,0,2,0
"71","울산","남구",26020,2,0,0,1,1,1,0,0,1,0,0,1,0,0,2,2,0,0,0,1,0,1,1,0
"72","울산","동구",26030,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,2,0,0,3,0,1,0
"73","울산","북구",26040,1,2,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"74","울산","울주군",26310,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"75","세종","세종특별자치시",29010,3,1,2,2,1,0,2,2,4,1,1,4,1,3,2,1,4,6,8,4,5,7,4,2
"76","경기","수원시 장안구",31011,0,1,2,3,3,2,1,2,0,3,4,5,5,4,5,6,4,5,8,6,4,3,3,1
"77","경기","수원시 권선구",31012,2,1,5,5,5,5,5,3,5,3,4,4,7,8,5,7,10,5,7,3,13,5,5,3
"78","경기","수원시 팔달구",31013,1,0,0,0,0,0,0,3,0,3,1,0,0,4,1,7,7,2,3,5,0,1,1,0
"79","경기","수원시 영통구",31014,1,1,2,0,2,3,2,3,1,0,3,2,2,2,2,2,6,3,5,5,5,1,2,0
"80","경기","성남시 수정구",31021,0,0,1,2,5,1,1,3,1,1,2,3,2,2,3,10,8,0,4,3,4,1,2,1
"81","경기","성남시 중원구",31022,2,0,1,2,4,1,3,2,2,2,2,0,2,2,4,7,4,2,4,2,8,5,3,1
"82","경기","성남시 분당구",31023,1,2,4,1,2,1,0,1,3,3,1,3,2,0,3,8,5,6,1,5,5,4,2,2
"83","경기","의정부시",31030,0,3,4,3,2,2,6,2,6,2,10,4,2,3,8,11,17,19,21,6,10,11,6,1
"84","경기","안양시 만안구",31041,0,6,1,0,3,1,4,3,2,2,5,1,0,3,1,1,8,5,5,3,6,2,4,3
"85","경기","안양시 동안구",31042,2,0,0,2,1,3,5,5,3,2,0,3,3,1,1,6,9,4,9,2,6,5,2,0
"86","경기","부천시",31050,5,8,11,12,10,10,9,7,12,11,12,10,7,8,6,24,21,15,12,18,13,11,12,7
"87","경기","광명시",31060,0,0,2,2,2,3,0,0,4,3,4,3,2,2,2,7,5,8,6,3,6,6,5,0
"88","경기","평택시",31070,0,6,1,3,4,5,3,1,7,7,8,5,9,5,6,7,6,9,13,17,10,7,8,3
"89","경기","동두천시",31080,0,1,2,1,2,1,0,1,1,0,0,1,2,0,4,2,9,3,3,2,0,1,0,0
"90","경기","안산시 상록구",31091,3,2,2,4,2,3,1,5,6,5,3,2,2,3,9,6,4,10,5,3,5,3,0,2
"91","경기","안산시 단원구",31092,4,2,8,5,2,1,6,3,1,4,3,3,3,2,3,2,5,8,6,3,5,4,3,2
"92","경기","고양시 덕양구",31101,2,5,5,6,7,7,5,4,2,7,2,6,3,4,9,14,8,13,6,10,10,11,5,4
"93","경기","고양시 일산동구",31103,4,1,2,5,0,2,3,1,0,0,2,4,1,1,5,1,7,4,7,4,1,6,3,1
"94","경기","고양시 일산서구",31104,1,2,2,2,2,0,2,2,1,8,3,3,3,1,0,6,4,2,11,6,4,4,7,3
"95","경기","과천시",31110,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,2,0,2,2,1,0
"96","경기","구리시",31120,0,1,0,1,0,1,2,2,1,1,4,3,4,1,4,8,5,7,8,7,6,4,1,2
"97","경기","남양주시",31130,7,5,2,3,5,7,8,11,5,10,11,3,8,5,12,31,46,35,11,14,10,12,12,5
"98","경기","오산시",31140,4,0,1,0,1,2,0,1,2,3,3,2,2,0,1,0,12,4,6,4,3,5,1,3
"99","경기","시흥시",31150,8,7,3,4,6,4,4,5,5,7,6,5,10,5,5,14,11,11,12,8,10,8,5,10
"100","경기","군포시",31160,2,2,1,3,2,1,4,3,2,4,5,4,3,1,2,8,10,4,5,1,3,1,2,2
"101","경기","의왕시",31170,1,1,1,2,3,1,2,4,2,3,0,1,2,0,1,4,5,2,0,0,1,4,4,1
"102","경기","하남시",31180,4,4,0,2,1,2,3,2,1,1,2,4,3,4,1,3,6,5,5,3,4,0,4,1
"103","경기","용인시 처인구",31191,2,2,5,4,1,1,2,0,1,3,2,4,6,4,1,4,7,3,4,3,5,4,4,1
"104","경기","용인시 기흥구",31192,0,4,3,1,5,1,4,8,2,0,5,9,3,5,1,7,6,5,3,5,4,4,3,3
"105","경기","용인시 수지구",31193,1,1,2,0,3,1,2,3,2,1,2,2,1,0,2,2,4,4,3,4,2,4,4,2
"106","경기","파주시",31200,2,5,5,5,3,6,0,5,7,8,7,6,10,6,15,11,16,13,12,11,11,6,11,0
"107","경기","이천시",31210,3,2,0,0,1,3,4,2,4,2,2,2,1,2,2,9,3,5,8,5,2,2,1,2
"108","경기","안성시",31220,0,1,0,3,0,2,0,2,6,2,0,3,1,4,12,3,6,5,4,5,4,4,3,3
"109","경기","김포시",31230,5,4,2,1,6,7,2,5,3,5,7,6,0,5,6,12,8,9,6,8,11,5,10,5
"110","경기","화성시",31240,2,9,10,6,7,4,8,5,0,4,11,6,10,8,11,14,15,22,16,9,14,10,4,6
"111","경기","광주시",31250,4,3,3,2,4,2,1,9,5,1,6,4,2,0,7,13,8,4,8,3,5,7,9,2
"112","경기","양주시",31260,2,2,0,1,2,2,4,3,0,3,5,1,2,0,3,8,13,10,4,6,5,3,3,2
"113","경기","포천시",31270,1,1,0,0,1,0,0,1,1,1,4,1,3,1,3,2,7,9,6,3,3,2,3,1
"114","경기","여주시",31280,1,0,2,0,1,2,2,2,2,2,0,0,1,0,2,3,2,4,3,1,2,2,10,3
"115","경기","연천군",31350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,1,0,0,1,0
"116","경기","가평군",31370,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2,0,2,0,2,1,0,0
"117","경기","양평군",31380,0,0,0,1,0,0,1,2,0,0,3,0,2,1,1,8,0,0,2,3,0,5,4,1
"118","강원","춘천시",32010,3,1,2,1,2,4,1,2,4,3,0,5,0,1,1,4,1,5,3,3,4,8,2,6
"119","강원","원주시",32020,0,3,2,0,2,5,7,1,1,1,2,1,1,1,2,2,3,3,6,3,3,5,1,4
"120","강원","강릉시",32030,0,1,0,0,3,0,1,0,1,0,1,1,3,0,1,0,0,1,1,2,2,1,0,2
"121","강원","동해시",32040,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,2,2
"122","강원","태백시",32050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","강원","속초시",32060,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3,0,2,0,0,0
"124","강원","삼척시",32070,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
"125","강원","홍천군",32310,1,0,0,0,0,1,2,1,0,0,1,0,1,1,1,2,0,1,5,1,2,3,2,0
"126","강원","횡성군",32320,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"127","강원","영월군",32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
"128","강원","평창군",32340,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,3,0,1,0
"129","강원","정선군",32350,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"130","강원","철원군",32360,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0
"131","강원","화천군",32370,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"132","강원","양구군",32380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"133","강원","인제군",32390,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0
"134","강원","고성군",32400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"135","강원","양양군",32410,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"136","충북","충주시",33020,0,0,0,2,1,1,1,1,2,0,2,1,1,1,5,3,5,1,3,3,1,2,0,1
"137","충북","제천시",33030,0,1,1,0,1,0,1,1,0,0,3,1,0,1,0,1,0,3,3,2,0,3,2,1
"138","충북","청주시 상당구",33041,3,0,2,1,0,2,1,3,0,1,2,3,3,2,2,2,1,2,3,3,4,2,3,2
"139","충북","청주시 서원구",33042,0,1,1,1,1,1,3,3,2,0,3,1,0,1,2,4,4,3,1,2,3,5,2,0
"140","충북","청주시 흥덕구",33043,3,2,2,1,1,3,3,4,1,1,6,5,2,1,4,5,2,3,3,3,4,4,5,1
"141","충북","청주시 청원구",33044,0,1,2,1,1,0,1,1,1,2,5,1,1,1,3,3,8,2,0,2,4,0,0,2
"142","충북","보은군",33320,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"143","충북","옥천군",33330,1,1,0,1,0,1,0,0,1,1,1,0,0,0,2,1,1,1,0,0,1,0,0,0
"144","충북","영동군",33340,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0
"145","충북","진천군",33350,0,1,1,0,1,1,1,1,2,1,0,1,2,1,1,1,2,2,2,5,4,3,0,2
"146","충북","괴산군",33360,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,1,0,0
"147","충북","음성군",33370,1,0,1,1,4,0,2,0,1,1,0,0,0,0,0,11,3,1,3,1,0,1,0,1
"148","충북","단양군",33380,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"149","충북","증평군",33390,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0
"150","충남","천안시 동남구",34011,3,3,2,1,1,0,0,2,2,4,6,7,3,6,2,7,3,6,3,6,10,2,1,2
"151","충남","천안시 서북구",34012,0,4,2,2,1,2,5,8,5,4,10,10,6,1,5,7,5,7,4,12,5,5,5,3
"152","충남","공주시",34020,0,0,1,0,2,4,0,2,0,3,1,5,1,0,5,3,1,1,1,5,4,2,0,2
"153","충남","보령시",34030,0,0,0,1,0,4,1,1,3,0,2,3,1,4,0,3,3,0,2,1,3,3,1,0
"154","충남","아산시",34040,1,3,5,2,2,5,1,5,5,7,8,7,6,5,5,10,3,5,8,8,7,13,7,5
"155","충남","서산시",34050,1,3,2,1,2,2,2,0,1,2,2,3,3,1,2,1,1,5,5,8,8,1,2,1
"156","충남","논산시",34060,0,0,1,0,0,0,3,0,0,0,3,1,0,2,3,2,0,3,1,6,4,1,2,1
"157","충남","계룡시",34070,0,0,0,2,0,0,1,0,0,2,2,0,0,1,1,0,3,0,1,1,1,0,1,0
"158","충남","당진시",34080,1,4,2,1,1,3,0,0,3,0,1,2,1,3,0,3,1,4,6,10,6,5,7,1
"159","충남","금산군",34310,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,2,0,1,2
"160","충남","부여군",34330,1,0,1,1,0,0,2,0,0,1,0,2,0,0,3,4,2,1,0,1,2,0,3,1
"161","충남","서천군",34340,0,1,0,0,4,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,4
"162","충남","청양군",34350,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"163","충남","홍성군",34360,2,0,2,1,0,2,3,1,1,2,3,2,0,2,1,2,1,2,1,5,5,2,1,2
"164","충남","예산군",34370,0,4,0,1,0,1,0,0,1,2,2,1,4,2,2,2,2,5,5,5,5,1,1,0
"165","충남","태안군",34380,0,0,1,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,1,3,3,1,1,1
"166","전북","전주시 완산구",35011,0,3,2,2,3,3,2,4,3,2,0,3,3,5,4,4,2,1,2,7,1,3,4,3
"167","전북","전주시 덕진구",35012,0,0,1,4,2,3,1,5,2,1,3,5,2,1,3,0,0,1,0,3,0,3,2,3
"168","전북","군산시",35020,3,1,6,1,7,13,4,5,4,5,5,5,4,1,4,2,1,2,3,4,4,3,5,3
"169","전북","익산시",35030,2,2,1,2,6,4,6,3,6,2,0,2,5,1,2,1,2,3,4,2,5,1,4,2
"170","전북","정읍시",35040,0,0,2,1,0,2,3,0,1,2,1,2,1,2,3,0,2,2,0,0,1,3,1,0
"171","전북","남원시",35050,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,1,0,0
"172","전북","김제시",35060,0,0,0,0,0,1,0,1,0,0,1,0,3,0,1,2,2,4,0,0,0,1,1,0
"173","전북","완주군",35310,0,0,1,1,1,1,3,1,0,1,1,0,2,0,0,1,0,1,0,0,1,3,0,2
"174","전북","진안군",35320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"175","전북","무주군",35330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"176","전북","장수군",35340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"177","전북","임실군",35350,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"178","전북","순창군",35360,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"179","전북","고창군",35370,1,1,0,0,0,0,1,0,0,1,2,0,3,0,0,1,0,0,2,0,1,0,0,1
"180","전북","부안군",35380,2,5,0,1,0,0,2,1,1,2,0,1,1,0,1,0,1,1,0,0,0,2,1,0
"181","전남","목포시",36010,1,3,0,0,0,0,0,1,0,2,0,2,0,0,4,9,1,1,2,0,2,1,1,1
"182","전남","여수시",36020,1,0,0,0,0,1,0,0,0,1,1,0,1,3,0,0,0,0,1,1,0,0,0,1
"183","전남","순천시",36030,1,1,0,0,0,0,1,0,0,0,1,1,2,4,3,0,2,1,0,0,0,1,0,2
"184","전남","나주시",36040,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,2,0,1,1,1,3
"185","전남","광양시",36060,0,0,0,0,0,1,1,4,3,0,1,2,2,0,1,0,1,1,0,1,0,0,0,1
"186","전남","담양군",36310,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"187","전남","곡성군",36320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"188","전남","구례군",36330,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"189","전남","고흥군",36350,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
"190","전남","보성군",36360,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"191","전남","화순군",36370,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0
"192","전남","장흥군",36380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"193","전남","강진군",36390,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"194","전남","해남군",36400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"195","전남","영암군",36410,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,0,0,1,0,1,1,0,0
"196","전남","무안군",36420,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0
"197","전남","함평군",36430,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1
"198","전남","영광군",36440,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
"199","전남","장성군",36450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,1,2,1,1
"200","전남","완도군",36460,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"201","전남","진도군",36470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","전남","신안군",36480,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"203","경북","포항시 남구",37011,1,1,3,1,0,3,0,0,0,0,1,2,0,0,2,1,1,0,0,0,0,0,2,0
"204","경북","포항시 북구",37012,0,2,3,1,0,1,3,1,3,2,1,1,0,1,2,3,0,0,2,1,0,1,4,1
"205","경북","경주시",37020,1,1,0,1,0,1,1,0,0,1,2,1,1,0,4,3,1,2,0,0,0,3,1,0
"206","경북","김천시",37030,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,2,1,0,0
"207","경북","안동시",37040,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"208","경북","구미시",37050,2,1,1,2,3,2,2,0,2,1,2,0,0,0,0,1,0,2,1,2,1,0,3,3
"209","경북","영주시",37060,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0
"210","경북","영천시",37070,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,2,1
"211","경북","상주시",37080,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"212","경북","문경시",37090,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
"213","경북","경산시",37100,1,0,2,1,1,0,2,1,1,0,1,0,0,1,2,0,2,0,0,0,1,0,0,1
"214","경북","군위군",37310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"215","경북","의성군",37320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"216","경북","청송군",37330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","경북","영양군",37340,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","경북","영덕군",37350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"219","경북","청도군",37360,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"220","경북","고령군",37370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"221","경북","성주군",37380,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"222","경북","칠곡군",37390,0,1,0,0,2,1,0,0,0,0,2,1,0,2,0,2,1,0,0,0,1,0,1,0
